Id	Title	Name	Image	Desc	RewardId	RewardType	Count	IsCore(1为普通，2为核心)	CountText	Weight	SortWeight	Isenchant	Unnamed: 13	备注	品质	名字	Unnamed: 17	Unnamed: 18	Unnamed: 19
奖品ID	奖品标题	名称多语言	图片	描述多语言	奖品Id	奖品类型（6钥匙，9宝箱，100商店）	物品数量	是否为核心物品	数量多语言	抽奖权重	排序权重（越小越考前）	是否附魔		备注	品质	名字			
Id	Title	Name	Image	Desc	RewardId	RewardType	Count	IsCore	CountText	Weight	SortWeight	Isenchant							
4	#	CommodityMechant_name_1_4	set:bedwar_item.json image:g1008_props_pickaxe_4	#	131	100	1	1	1	90000	12004	0		90000	3	钻石镐		83.0	防具
8	#	CommodityMechant_name_1_8	set:bedwar_item.json image:g1008_props_ax_4	#	130	100	1	1	1	90000	12005	0		90000	3	钻石斧		84.0	防具
9	#	CommodityMechant_name_1_9	set:bedwar_item.json image:g1008_props_scissors	#	114	100	1	1	1	160000	27006	0		160000	2	剪刀		85.0	防具
72	#	CommodityMechant_name_2_29	set:bedwar_item.json image:g1008_props_coat_2	LotteryRewardSetting_desc9_72	83	100	1	1	1	90000	12007	1		90000	3	金甲身		86.0	防具
73	#	CommodityMechant_name_2_30	set:bedwar_item.json image:g1008_props_pants_2	LotteryRewardSetting_desc9_73	84	100	1	1	1	90000	12008	1		90000	3	金甲腿		87.0	防具
74	#	CommodityMechant_name_2_31	set:bedwar_item.json image:g1008_props_shoes_2	LotteryRewardSetting_desc9_74	85	100	1	1	1	90000	12009	1		90000	3	金甲鞋		88.0	防具
75	#	CommodityMechant_name_2_32	set:bedwar_item.json image:g1008_props_coat_3	LotteryRewardSetting_desc9_75	86	100	1	2	1	40	2010	1		40	4	钻石甲身		89.0	武器
76	#	CommodityMechant_name_2_33	set:bedwar_item.json image:g1008_props_pants_3	LotteryRewardSetting_desc9_76	87	100	1	2	1	40	2011	1		40	4	钻石甲腿		90.0	武器
77	#	CommodityMechant_name_2_34	set:bedwar_item.json image:g1008_props_shoes_3	LotteryRewardSetting_desc9_77	88	100	1	2	1	40	2012	1		40	4	钻石甲鞋		99.0	道具
78	#	CommodityMechant_name_3_37	set:bedwar_item.json image:g1008_props_wepaon_3	LotteryRewardSetting_desc9_78	89	100	1	1	1	90000	12013	1		90000	3	金剑		100.0	道具
79	#	CommodityMechant_name_3_38	set:bedwar_item.json image:g1008_props_wepaon_4	LotteryRewardSetting_desc9_79	90	100	1	2	1	40	2014	1		40	4	钻石剑		101.0	道具
