Id	RewardId	Background	Title	Size	PriceType	Price
唯一Id	奖励Id	背景框	标题	格子数	补签价格类型	补签价格
Id	RewardId	Background	Title	Size	PriceType	Price
1	600001	set:bed_war_daily_sign_in.json image:item_default	tiro.sign.in.title.1	1	5	5
2	600002	set:bed_war_daily_sign_in.json image:item_default	tiro.sign.in.title.2	1	5	5
3	600003	set:bed_war_daily_sign_in.json image:item_default	tiro.sign.in.title.3	1	5	5
4	600004	set:bed_war_daily_sign_in.json image:item_default	tiro.sign.in.title.4	1	5	5
5	600005	set:bed_war_daily_sign_in.json image:item_default	tiro.sign.in.title.5	1	5	5
6	600006	set:bed_war_daily_sign_in.json image:item_default	tiro.sign.in.title.6	1	5	5
7	600007	set:bed_war_daily_sign_in.json image:item_7	tiro.sign.in.title.7	2	5	5
