Index	Season	ItemID	ActorName	uiSkillName	Num	Price	CurrencyType	BuyLimit	LVLimit	Weight	Unnamed: 11	Unnamed: 12
序号	赛季	道具ID	道具模型名字	UI上播的动作	数量	价格	货币类型（1魔方，5钥匙，6通行证货币）	限购次数	等级限制	权重		
Index	Season	ItemId	ActorName	uiSkillName	Num	Price	CurrencyType	BuyLimit	LVLimit	Weight		
1	1	60106	#	#	1	10	6	100	1	1		紫色宝箱
2	1	60105	#	#	20	10	6	3	1	2		钥匙
3	1	60337	#	#	1	50	6	2	10	3		铁锭Ⅱ
4	1	60325	#	#	1	50	6	2	10	4		暴击Ⅱ
5	1	60339	#	#	1	50	6	2	10	5		羊毛Ⅱ
6	1	60403	#	#	1	150	6	1	30	6		心箭
7	1	60412	#	#	1	150	6	1	30	7		光箭
8	1	60405	#	#	1	100	6	1	30	8		棒球手
9	2	60107	#	#	1	10	6	999	1	1		武器宝箱
10	2	60108	#	#	1	10	6	999	1	2		工具宝箱
11	2	60109	#	#	1	20	6	999	1	3		头盔宝箱
12	2	60110	#	#	1	10	6	999	1	4		特权宝箱
13	2	60111	#	#	1	20	6	999	1	5		符文宝箱
14	2	60105	#	#	20	10	6	3	1	6		钥匙
15	2	60420	#	#	1	150	6	1	30	7		魔法箭
16	2	60421	#	#	1	100	6	1	30	8		你过来呀
17	3	60107	#	#	1	10	6	999	1	1		武器宝箱
18	3	60108	#	#	1	10	6	999	1	2		工具宝箱
19	3	60109	#	#	1	20	6	999	1	3		头盔宝箱
20	3	60110	#	#	1	10	6	999	1	4		特权宝箱
21	3	60111	#	#	1	20	6	999	1	5		符文宝箱
22	3	60105	#	#	20	10	6	3	1	6		钥匙
23	3	60423	#	#	1	150	6	1	30	7		闪电箭
24	3	60422	#	#	1	100	6	1	30	8		闪耀登场
