Id	Type	Level	Name	Des	DesPro	Image	CanSell	Weight	SellKey	备注	备注.1	备注.2
符文id	符文类型	符文等级	符文名称多语言	符文描述多语言	符文属性描述多语言	符文图片	能否卖出（1能卖，-1不能卖）	符文权重（排序顺序为等级，类型，权重）	回收获得钥匙数量			
Id	Type	Level	Name	Des	DesPro	Image	CanSell	Weight	SellKey			
10101	1	1	RuneSetting_name_10101	RuneSetting_des_10101	RuneSetting_attrdes_10101	set:runeIcon.json image:rune_10101	1	110101	1	剑刃Ⅰ	剑伤害+0.15	剑伤害+0.15
10102	1	2	RuneSetting_name_10102	RuneSetting_des_10102	RuneSetting_attrdes_10102	set:runeIcon.json image:rune_10102	1	210102	2	剑刃Ⅱ	剑伤害+0.19	剑伤害+0.19
10103	1	3	RuneSetting_name_10103	RuneSetting_des_10103	RuneSetting_attrdes_10103	set:runeIcon.json image:rune_10103	1	310103	5	剑刃Ⅲ	剑伤害+0.25	剑伤害+0.25
10201	1	1	RuneSetting_name_10201	RuneSetting_des_10201	RuneSetting_attrdes_10201	set:runeIcon.json image:rune_10201	1	110201	1	弓箭Ⅰ	弓箭伤害+0.15	弓箭伤害+0.15
10202	1	2	RuneSetting_name_10202	RuneSetting_des_10202	RuneSetting_attrdes_10202	set:runeIcon.json image:rune_10202	1	210202	2	弓箭Ⅱ	弓箭伤害+0.19	弓箭伤害+0.19
10203	1	3	RuneSetting_name_10203	RuneSetting_des_10203	RuneSetting_attrdes_10203	set:runeIcon.json image:rune_10203	1	310203	5	弓箭Ⅲ	弓箭伤害+0.25	弓箭伤害+0.25
10301	1	1	RuneSetting_name_10301	RuneSetting_des_10301	RuneSetting_attrdes_10301	set:runeIcon.json image:rune_10301	1	110301	1	击退Ⅰ	击退距离+0.08	击退距离+0.08
10302	1	2	RuneSetting_name_10302	RuneSetting_des_10302	RuneSetting_attrdes_10302	set:runeIcon.json image:rune_10302	1	210302	2	击退Ⅱ	击退距离+0.12	击退距离+0.12
10303	1	3	RuneSetting_name_10303	RuneSetting_des_10303	RuneSetting_attrdes_10303	set:runeIcon.json image:rune_10303	1	310303	5	击退Ⅲ	击退距离+0.16	击退距离+0.16
10401	1	1	RuneSetting_name_10401	RuneSetting_des_10401	RuneSetting_attrdes_10401	set:runeIcon.json image:rune_10401	1	110401	1	吸血Ⅰ	吸血1.9%	吸血1.9%
10402	1	2	RuneSetting_name_10402	RuneSetting_des_10402	RuneSetting_attrdes_10402	set:runeIcon.json image:rune_10402	1	210402	2	吸血Ⅱ	吸血2.6%	吸血2.6%
10403	1	3	RuneSetting_name_10403	RuneSetting_des_10403	RuneSetting_attrdes_10403	set:runeIcon.json image:rune_10403	1	310403	5	吸血Ⅲ	吸血3.5%	吸血3.5%
10501	1	1	RuneSetting_name_10501	RuneSetting_des_10501	RuneSetting_attrdes_10501	set:runeIcon.json image:rune_10501	1	110501	1	暴击Ⅰ	暴击几率+2.2%	暴击几率+2.2%
10502	1	2	RuneSetting_name_10502	RuneSetting_des_10502	RuneSetting_attrdes_10502	set:runeIcon.json image:rune_10502	1	210502	2	暴击Ⅱ	暴击几率+2.8%	暴击几率+2.8%
10503	1	3	RuneSetting_name_10503	RuneSetting_des_10503	RuneSetting_attrdes_10503	set:runeIcon.json image:rune_10503	1	310503	5	暴击Ⅲ	暴击几率+3.5%	暴击几率+3.5%
10601	1	1	RuneSetting_name_10601	RuneSetting_des_10601	RuneSetting_attrdes_10601	set:runeIcon.json image:rune_10601	1	110601	1	火剑Ⅰ	剑攻击2.5%燃烧敌人	剑攻击2.5%燃烧敌人
10602	1	2	RuneSetting_name_10602	RuneSetting_des_10602	RuneSetting_attrdes_10602	set:runeIcon.json image:rune_10602	1	210602	2	火剑Ⅱ	剑攻击3.1%燃烧敌人	剑攻击3.1%燃烧敌人
