唯一ID	特权类型	特权内容	数量(目前只有type4用到数量	类型1建造 20资源	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	备注
Id	PriType	Detail	Num						
111	1	0	0	10.0	1.0	1.0	魔方方块物品可用金币买		
112	2	0	0	10.0	1.0	2.0	解锁岛屿半价		
121	3	0	0	10.0	2.0	1.0	专属方块		
122	13	0	0	10.0	2.0	2.0	解锁天空		
131	5	0	0	10.0	3.0	1.0	解锁飞行		
132	6	0	0	10.0	3.0	2.0	解锁所有方块打5折		
211	7	0	0	20.0	1.0	1.0	专属矿机		
113	8	100000	0	10.0	1.0	3.0	10W游戏币		
212	8	600000	0	20.0	1.0	2.0	60W游戏币		
213	9	2247#2248#2249#2252	0	20.0	1.0	3.0	全套紫晶工具		
221	9	2072#2073#2074#2075	0	20.0	2.0	1.0	全套紫晶防具		
222	10	4001#4002#4003#4004#4005	0	20.0	2.0	2.0	所有挖掘机半价购买，(现改为获得所有矿机，配矿机商店ID)		
231	9	2246#2251	0	20.0	3.0	1.0	全套紫晶武器		
242	12	0	0	20.0	4.0	2.0	所有挖掘机产出效率加倍		
241	4	0	1	20.0	4.0	1.0	赠送铁王座(暂无)		
232	11	0	0	20.0	3.0	2.0	所有挖掘机半价升级		
243	9	2337	0	20.0	4.0	3.0	赠送星空枪		
501	14	3001#3002#3003#3011#3012#3013#3014#3015#3016	0	50.0	0.0	1.0	永久解锁所有特权，配商店ID		特权14填其他所有特权的商店ID
251	9	3560	0	20.0	5.0	1.0	君王头盔		
252	9	3561	0	20.0	5.0	2.0	君王甲		
253	9	3562	0	20.0	5.0	3.0	君王护腿		
254	9	3563	0	20.0	5.0	4.0	君王鞋		
255	9	3570	0	20.0	5.0	5.0	帝国的泯灭		
261	9	3564	0	20.0	6.0	1.0	诛神头盔		
262	9	3565	0	20.0	6.0	2.0	诛神甲		
263	9	3566	0	20.0	6.0	3.0	诛神护腿		
264	9	3567	0	20.0	6.0	4.0	诛神鞋		
265	9	3569	0	20.0	6.0	5.0	诸神黄昏		
502	15	3101#3102#3103#3111#3112#3113#3114	0	50.0	0.0	1.0	新特权		
214	10	4004	0	20.0	2.0	2.0	金币矿机		
215	10	4005	0	20.0	2.0	2.0	钻石矿机		
216	9	2251	0	20.0	3.0	1.0	紫晶弓		
217	10	4006	0	20.0	2.0	2.0	特权矿机		
