seq	groupId	groupSeq	rewardId	weights	isGrandPrize	Unnamed: 6	Unnamed: 7
序号	奖品组id	组内排序	奖品id	权重	是否为大奖		
seq	groupId	groupSeq	rewardId	weights	isGrandPrize		
101	1	1	101	0	1	101.0	加特林
102	1	2	102	5	0	102.0	钞票方块
103	1	3	103	10	0	103.0	金条方块
104	1	4	104	50	0	104.0	银锭方块
105	1	5	105	500	0	105.0	星空方块
106	1	6	106	2000	0	106.0	红色喷泉-超高
107	1	7	107	2000	0	107.0	绿色喷泉-超高
108	1	8	108	2000	0	108.0	蓝色喷泉-超高
109	1	9	109	2000	0	109.0	黄色喷泉-超高
110	1	10	110	1000	0	110.0	誓约胜利之剑
111	1	11	111	3000	0	111.0	泰坦头盔
112	1	12	112	3000	0	112.0	泰坦甲
113	1	13	113	3000	0	113.0	泰坦护腿
114	1	14	114	3000	0	114.0	泰坦鞋
115	1	15	115	8000	0	115.0	10万货币
116	1	16	116	5000	0	116.0	海晶灯
117	1	17	117	6000	0	117.0	星空方块
118	1	18	118	5000	0	118.0	绿宝石块
119	1	19	119	5000	0	119.0	钻石块
120	1	20	120	5000	0	120.0	金块
121	1	21	121	5000	0	121.0	萤石
201	2	18	201	1	1	201.0	星空枪
202	2	19	202	2000	0	202.0	星空方块
203	2	20	203	2000	0	203.0	海晶灯
204	2	21	204	5000	0	204.0	阿隆戴特
205	2	22	205	99999	0	205.0	圆桌骑士头盔
206	2	23	206	99999	0	206.0	圆桌骑士甲
207	2	24	207	99999	0	207.0	圆桌骑士护腿
208	2	25	208	99999	0	208.0	圆桌骑士鞋
209	2	26	209	99999	0	209.0	金块
210	2	27	210	99999	0	210.0	钻石块
301	101	28	301	99999	0	301.0	金块
302	101	29	302	99999	0	302.0	钻石块
303	102	30	303	99999	0	303.0	金块
304	102	31	304	99999	0	304.0	钻石块
305	103	32	305	99999	0	305.0	金块
306	103	33	306	99999	0	306.0	钻石块
307	104	34	307	99999	0	307.0	金块
308	104	35	308	99999	0	308.0	钻石块
