id	text	name	desc	quality	effect	type	realId	num	numLang	image	imageScale	imageXOffset	imageYOffset	needMask	price	priceIcon	compensate	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29
奖品id	备注	奖品名多语言	奖品描述多语言	品质	特效名称	奖励类型	真实奖励id	数量	数量多语言	图片	图片缩放（填#为原始大小）	图片X方向偏移值	图片Y方向偏移值	是否圆形遮罩（1为遮罩）	价值	价值图标	重复获得补偿物品												
id	text	name	desc	quality	effect	type	realId	num	numLang	image	imageScale	imageXOffset	imageYOffset	needMask	price	priceIcon	compensate												
101	加特林	gui_gun_name_11.name	gui_gun_desc_172	yellow	random_lottery_bg1.effect	Item	2338	1	#	set:skyblock_common_activity.json image:g1048_gatling	#	#	#	#	9999	set:common_activity.json image:img_0_gcube_line	102				传说	加特林			品质			奖励类型	
102	钞票方块	Item_Name146500	Item_Name146500	yellow	random_lottery_bg1.effect	Block	2465#0	1	#	set:skyblock_common_activity.json image:g1048_2465_0	#	#	#	#	800	set:common_activity.json image:img_0_gcube_line	0				传说	钞票方块			大奖	yellow2		所有的武器	Gun
103	金条方块	Item_Name146502	Item_Name146502	yellow	random_lottery_bg1.effect	Block	2465#2	1	#	set:skyblock_common_activity.json image:g1048_2465_2	#	#	#	#	1100	set:common_activity.json image:img_0_gcube_line	0				传说	金条方块			传说	yellow		武器碎片	GunChip
104	银锭方块	Item_Name146501	Item_Name146501	yellow	random_lottery_bg1.effect	Block	2465#1	1	#	set:skyblock_common_activity.json image:g1048_2465_1	#	#	#	#	900	set:common_activity.json image:img_0_gcube_line	0				传说	银锭方块			史诗	purple		道具	Prop
105	星空方块	Item_Name142200	Item_Name142200	yellow	random_lottery_bg1.effect	Block	2422#0	10	10	set:skyblock_common_activity.json image:g1048_2422_0	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				传说	星空方块			稀有	blue		道具碎片	PropChip
106	红色喷泉-超高	Item_Name282400	Item_Name282400	purple	#	Item	2824	1	#	set:game_items.json image:fountain_red_high	#	#	#	#	200	set:common_activity.json image:img_0_gcube_line	0				史诗	红色喷泉-超高			普通	green		金币	Currency
107	绿色喷泉-超高	Item_Name282500	Item_Name282500	purple	#	Item	2825	1	#	set:game_items.json image:fountain_green_high	#	#	#	#	180	set:common_activity.json image:img_0_gcube_line	0				史诗	绿色喷泉-超高						钥匙	YaoShi
108	蓝色喷泉-超高	Item_Name282600	Item_Name282600	purple	#	Item	2826	1	#	set:game_items.json image:fountain_colourless_high	#	#	#	#	170	set:common_activity.json image:img_0_gcube_line	0				史诗	蓝色喷泉-超高						武器强化券	Ticket 
109	黄色喷泉-超高	Item_Name282900	Item_Name282900	purple	#	Item	2829	1	#	set:game_items.json image:fountain_yellow_high	#	#	#	#	150	set:common_activity.json image:img_0_gcube_line	0				史诗	黄色喷泉-超高						特权	Privilege
110	誓约胜利之剑	Item_Name356900	Item_Name356900	purple	#	Item	3569	1	#	set:task_and_shop.json image:sword_black	#	#	#	#	60	set:common_activity.json image:img_0_gcube_line	0				史诗	誓约胜利之剑							
111	泰坦头盔	Item_Name356400	Item_Name356400	purple	#	Item	3564	1	#	set:task_and_shop.json image:g1048_helmet_purple	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				史诗	泰坦头盔							
112	泰坦甲	Item_Name356500	Item_Name356500	purple	#	Item	3565	1	#	set:task_and_shop.json image:g1048_clothes_purple	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				史诗	泰坦甲							
113	泰坦护腿	Item_Name356600	Item_Name356600	purple	#	Item	3566	1	#	set:task_and_shop.json image:g1048_pants_purple	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				史诗	泰坦护腿							
114	泰坦鞋	Item_Name356700	Item_Name356700	purple	#	Item	3567	1	#	set:task_and_shop.json image:g1048_shoes_purple	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				史诗	泰坦鞋							
115	10万货币	Item_Name10000001	Item_Name10000001	blue	#	Currency	100000	100000	100000	set:task_and_shop.json image:100m_pri1	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				稀有	10万货币							
116	海晶灯	Item_Name16800	Item_Name16800	blue	#	Block	168#0	2	2	set:skyblock_common_activity.json image:g1048_168_0	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				稀有	海晶灯							
117	星空方块	Item_Name142200	Item_Name142200	blue	#	Block	2422#0	1	1	set:skyblock_common_activity.json image:g1048_2422_0	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				稀有	星空方块							
118	绿宝石块	Item_Name13300	Item_Name13300	blue	#	Block	133#0	3	3	set:skyblock_common_activity.json image:g1048_133_0	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				稀有	绿宝石块							
119	钻石块	Item_Name5700	Item_Name5700	blue	#	Block	57#0	4	4	set:skyblock_common_activity.json image:g1048_57_0	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				稀有	钻石块							
120	金块	Item_Name4100	Item_Name4100	blue	#	Block	41#0	10	10	set:skyblock_common_activity.json image:g1048_41_0	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				稀有	金块							
121	萤石	Item_Name8900	Item_Name8900	blue	#	Block	89#0	10	10	set:skyblock_common_activity.json image:g1048_89_0	#	#	#	#	10	set:common_activity.json image:img_0_gcube_line	0				稀有	萤石							
201	星空枪	Item_Name233700	Item_Name233700	yellow	random_lottery_bg1.effect	Item	2337	1	#	set:skyblock_common_activity.json image:g1048_2337	#	#	#	#	697	set:common_activity.json image:img_0_gcube_line	0				传说	星空枪							
202	星空方块	Item_Name142200	Item_Name142200	purple	#	Block	2422#0	1	#	set:skyblock_common_activity.json image:g1048_2422_0	#	#	#	#	260	set:common_activity.json image:img_0_gcube_line	0				史诗	星空方块							
203	海晶灯	Item_Name16800	Item_Name16800	purple	#	Block	168#0	1	#	set:skyblock_common_activity.json image:g1048_168_0	#	#	#	#	240	set:common_activity.json image:img_0_gcube_line	0				史诗	海晶灯							
204	阿隆戴特	Item_Name356800	Item_Name356800	purple	#	Item	3568	1	#	set:task_and_shop.json image:sword_red	#	#	#	#	80	set:common_activity.json image:img_0_gcube_line	0				史诗	阿隆戴特							
205	圆桌骑士头盔	Item_Name355600	Item_Name355600	blue	#	Item	3556	1	#	set:task_and_shop.json image:g1048_helmet_green	#	#	#	#	60	set:common_activity.json image:img_0_gcube_line	0				稀有	圆桌骑士头盔							
206	圆桌骑士甲	Item_Name355700	Item_Name355700	blue	#	Item	3557	1	#	set:task_and_shop.json image:g1048_clothes_green	#	#	#	#	50	set:common_activity.json image:img_0_gcube_line	0				稀有	圆桌骑士甲							
207	圆桌骑士护腿	Item_Name355800	Item_Name355800	blue	#	Item	3558	1	#	set:task_and_shop.json image:g1048_pants_green	#	#	#	#	50	set:common_activity.json image:img_0_gcube_line	0				稀有	圆桌骑士护腿							
208	圆桌骑士鞋	Item_Name355900	Item_Name355900	blue	#	Item	3559	1	#	set:task_and_shop.json image:g1048_shoes_green	#	#	#	#	50	set:common_activity.json image:img_0_gcube_line	0				稀有	圆桌骑士鞋							
209	金块	Item_Name4100	Item_Name4100	green	#	Block	41#0	40	40	set:skyblock_common_activity.json image:g1048_41_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	金块							
210	钻石块	Item_Name5700	Item_Name5700	green	#	Block	57#0	20	20	set:skyblock_common_activity.json image:g1048_57_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	钻石块							
301	金块	Item_Name4100	Item_Name4100	green	#	Block	41#0	2	2	set:skyblock_common_activity.json image:g1048_41_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	金块							
302	钻石块	Item_Name5700	Item_Name5700	green	#	Block	57#0	2	2	set:skyblock_common_activity.json image:g1048_57_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	钻石块							
303	金块	Item_Name4100	Item_Name4100	green	#	Block	41#0	10	10	set:skyblock_common_activity.json image:g1048_41_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	金块							
304	钻石块	Item_Name5700	Item_Name5700	green	#	Block	57#0	10	10	set:skyblock_common_activity.json image:g1048_57_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	钻石块							
305	金块	Item_Name4100	Item_Name4100	green	#	Block	41#0	20	20	set:skyblock_common_activity.json image:g1048_41_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	金块							
306	钻石块	Item_Name5700	Item_Name5700	green	#	Block	57#0	20	20	set:skyblock_common_activity.json image:g1048_57_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	钻石块							
307	金块	Item_Name4100	Item_Name4100	green	#	Block	41#0	50	50	set:skyblock_common_activity.json image:g1048_41_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	金块							
308	钻石块	Item_Name5700	Item_Name5700	green	#	Block	57#0	50	50	set:skyblock_common_activity.json image:g1048_57_0	#	#	#	#	20	set:common_activity.json image:img_0_gcube_line	0				普通	钻石块							
