奖励Id	首充Id	奖励图标	奖励特效	奖励名称多语言	游戏奖励自定义类型(可以是表索引名)	描述	游戏奖励真实Id	物品Meta	数量	排序权重	
Id	SumRechargeId	Icon	Effect	NameLang	Type	DescLang	RewardId	Meta	Count	SortWeight	
1	3	#	g1048_jiangliquan_liubianxing.effect	Item_Name142200	Item	Item_Desc142200	2422	0	20	6	星空方块
2	3	#	g1048_jiangliquan_liubianxing.effect	Item_Name31000	Item	Item_Desc31000	310	0	1	5	钻石头盔
3	3	#	g1048_jiangliquan_liubianxing.effect	Item_Name31100	Item	Item_Desc31100	311	0	1	4	钻石胸甲
4	3	#	g1048_jiangliquan_liubianxing.effect	Item_Name31200	Item	Item_Desc31200	312	0	1	3	钻石护腿
5	3	#	g1048_jiangliquan_liubianxing.effect	Item_Name31300	Item	Item_Desc31300	313	0	1	2	钻石鞋
6	3	#	g1048_jiangliquan_liubianxing.effect	Item_Name27800	Item	Item_Desc27800	278	0	1	1	钻石镐
7	1	set:game_items.json image:g1048_feifu	g1048_jiangliquan_liubianxing.effect	item.g1048_rechargeSword.name	Item	Item_Desc283200	2832	0	1	3	苍鬼
8	1	#	g1048_jiangliquan_liubianxing.effect	Item_Name16800	Item	Item_Desc16800	168	0	20	2	海晶灯
9	1	#	g1048_jiangliquan_liubianxing.effect	Item_Name1000000	Money	Item_Desc1000000	10000	0	100000	1	10万金币
10	2	set:game_items.json image:fountain_red_low	g1048_jiangliquan_liubianxing.effect	Item_Name281000.name	Item	Item_Desc281000	2810	0	1	3	喷泉R
11	2	set:game_items.json image:fountain_green_low	g1048_jiangliquan_liubianxing.effect	Item_Name281100.name	Item	Item_Desc281100	2811	0	1	2	喷泉G
12	2	set:game_items.json image:fountain_blue_low	g1048_jiangliquan_liubianxing.effect	Item_Name281200.name	Item	Item_Desc281200	2812	0	1	1	喷泉B
16	6	#	g1048_jiangliquan_liubianxing.effect	Item_Name142200	Item	Item_Desc142200	2422	0	20	6	星空方块
17	6	#	g1048_jiangliquan_liubianxing.effect	Item_Name31000	Item	Item_Desc31000	310	0	1	5	钻石头盔
18	6	#	g1048_jiangliquan_liubianxing.effect	Item_Name31100	Item	Item_Desc31100	311	0	1	4	钻石胸甲
19	6	#	g1048_jiangliquan_liubianxing.effect	Item_Name31200	Item	Item_Desc31200	312	0	1	3	钻石护腿
20	6	#	g1048_jiangliquan_liubianxing.effect	Item_Name31300	Item	Item_Desc31300	313	0	1	2	钻石鞋
21	6	#	g1048_jiangliquan_liubianxing.effect	Item_Name27800	Item	Item_Desc27800	278	0	1	1	钻石镐
22	4	set:game_items.json image:g1048_feifu	g1048_jiangliquan_liubianxing.effect	item.g1048_rechargeSword.name	Item	Item_Desc283200	2832	0	1	3	苍鬼
23	4	#	g1048_jiangliquan_liubianxing.effect	Item_Name16800	Item	Item_Desc16800	168	0	20	2	海晶灯
24	4	#	g1048_jiangliquan_liubianxing.effect	Item_Name1000000	Money	Item_Desc1000000	10000	0	100000	1	10万金币
25	5	set:game_items.json image:fountain_red_low	g1048_jiangliquan_liubianxing.effect	Item_Name281000.name	Item	Item_Desc281000	2810	0	1	3	喷泉R
26	5	set:game_items.json image:fountain_green_low	g1048_jiangliquan_liubianxing.effect	Item_Name281100.name	Item	Item_Desc281100	2811	0	1	2	喷泉G
27	5	set:game_items.json image:fountain_blue_low	g1048_jiangliquan_liubianxing.effect	Item_Name281200.name	Item	Item_Desc281200	2812	0	1	1	喷泉B
