RecipeName	RecipeTab	RecipeAllWeight	Unnamed: 3	RecipeTypeWeight	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
配方名字（对应recipe文件夹下名字）	所属Tab分类 1)方块    2)工具  3)物品   4)染色	全部排序权重	顺序	部分排序权重	顺序	备注1		
RecipeName	RecipeTab	RecipeAllWeight		RecipeTypeWeight				
oak_planks	1	999	1	999	1	橡木板		
wooden_door	1	699	301	998	2	木门	橡木	
fence	1	698	302	997	3	栅栏	橡木	
fence_gate	1	697	303	996	4	栅栏门	橡木	
oak_wooden_slab	1	696	304	995	5	单层橡木板		
oak_stairs	1	695	305	994	6	橡木楼梯		
birch_planks	1	998	2	993	7	白桦木板		
birch_door	1	690	310	992	8	白桦木门		
birch_fence	1	689	311	991	9	白桦木栅栏		
birch_fence_gate	1	688	312	990	10	白桦木栅栏门		
birch_wooden_slab	1	687	313	989	11	单层白桦木板		
birch_stairs	1	686	314	988	12	白桦木楼梯		
stone_slab	1	685	315	987	13	圆石板		
stone_stairs	1	684	316	986	14	圆石楼梯		
cobblestone_wall	1	683	317	985	15	圆石墙		
stonebrick	1	682	318	984	16	石砖		
stone_brick_slab	1	681	319	983	17	石砖板		
stone_brick_stairs	1	680	320	982	18	石砖楼梯		
brick_block	1	679	321	981	19	砖块		
brick_slab	1	678	322	980	20	砖板		
brick_stairs	1	677	323	979	21	砖块楼梯		
sandstone	1	676	324	978	22	砂石		
sandstone_slab	1	675	325	977	23	砂石板		
sandstone_stairs	1	674	326	976	24	砂石楼梯		
quartz_slab	1	673	327	975	25	石英板		
quartz_stairs	1	672	328	974	26	石英楼梯		
nether_brick	1	671	329	973	27	地狱砖块		
new_nether_brick_wall	1	670	330	972	28	地狱砖墙		
new_red_nether_brick_slab	1	669	331	971	29	红色地狱砖板		
new_red_nether_brick_stairs	1	668	332	970	30	红色地狱砖楼梯		
new_red_nether_brick_wall	1	667	333	969	31	红色地狱砖墙		
prismarine	1	666	334	968	32	海晶石		
new_prismarine_bricks	1	665	335	967	33	海晶石砖		
new_prismarine_bricks_stairs	1	664	336	966	34	海晶石砖楼梯		
new_prismarine_bricks_slab	1	663	337	965	35	海晶石砖板		
new_prismarine_dark	1	662	338	964	36	暗色海晶石		
new_prismarine_dark_slab	1	661	339	963	37	暗海晶石板		
new_prismarine_dark_stairs	1	660	340	962	38	暗海晶石楼梯		
new_prismarine_wall	1	659	341	961	39	海晶石墙		
emerald_block	1	658	342	960	40	绿宝石块		
diamond_block	1	657	343	959	41	钻石块		
gold_block	1	656	344	958	42	金块		
iron_block	1	655	345	957	43	铁块		
stick	2	899	101	999	1	木板->木棍		
crafting_table	2	898	102	998	2	工作台		
furnace	2	897	103	997	3	熔炉		
chest	2	896	104	996	4	箱子		
ladder	2	895	105	995	5	梯子		
wooden_pickaxe	2	894	106	994	6	木镐		
stone_pickaxe	2	893	107	993	7	石镐		
iron_pickaxe	2	892	108	992	8	铁镐		
golden_pickaxe	2	891	109	991	9	金镐		
diamond_pickaxe	2	890	110	990	10	钻石镐		
wooden_axe	2	889	111	989	11	木斧		
stone_axe	2	888	112	988	12	石斧		
iron_axe	2	887	113	987	13	铁斧		
golden_axe	2	886	114	986	14	金斧		
diamond_axe	2	885	115	985	15	钻石斧		
wooden_hoe	2	884	116	984	16	木锄		
stone_hoe	2	883	117	983	17	石锄		
iron_hoe	2	882	118	982	18	铁锄		
golden_hoe	2	881	119	981	19	金锄		
diamond_hoe	2	880	120	980	20	钻石锄		
wooden_shovel	2	879	121	979	21	木锹		
stone_shovel	2	878	122	978	22	石锹		
iron_shovel	2	877	123	977	23	铁锹		
golden_shovel	2	876	124	976	24	金锹		
diamond_shovel	2	875	125	975	25	钻石锹		
wooden_sword	3	799	201	999	1	木剑		
stone_sword	3	798	202	998	2	石剑		
iron_sword	3	797	203	997	3	铁剑		
golden_sword	3	796	204	996	4	金剑		
diamond_sword	3	795	205	995	5	钻石剑		
iron_helmet	3	794	206	994	6	铁头盔		
golden_helmet	3	793	207	993	7	金头盔		
diamond_helmet	3	792	208	992	8	钻石头盔		
iron_chestplate	3	791	209	991	9	铁胸甲		
golden_chestplate	3	790	210	990	10	金胸甲		
