id	名字多语言	类型(任务表读这个ID)	Unnamed: 3	actor名称	默认配置应该是body	bodyId	杀死后获得的物品奖励(物品id:物品meta:数量:概率) 概率是 0-100, 多个用#分隔	死亡特效	掉落散开半径	生命值	攻击力	防御力	攻击cd	攻击距离	移动速度(moveSpeed/500*x + x)      x为默认速度	视野范围	视野角度	奔跑速度增量	是否飞行	能否逃跑	巡逻类型(1、)	每次巡逻移动距离	巡逻范围	巡逻CD	警戒时间	追击范围	能否召集同伴	召集范围
id	name	genre	unNamed1	actorName	actorBody	actorBodyId	rewardItems	dieEffect	dropRadius	hp	attack	defence	attackCD	attackDistance	moveSpeed	viewRange	viewDegree	moveSpeedAddition	canFly	canEscape	patrolType	patrolDistanceOnce	patrolDistance	patrolCD	alertTime	pursueDistance	canTogether	togetherRange
4001	monsterName4001	4001	恶魂	g1048_ehun.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:30#49:0:1:10#2500:0:1:2#266:0:1:20#264:0:1:2#215:0:1:2	monster_die1.effect	1	50	2.5	0	0.5	2	1	5	180	1	0	0	2	1	15	0.1	0.5	6	0	0
4002	monsterName4001	4001	恶魂	g1048_ehun.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:30#49:0:1:10#2500:0:1:2#266:0:1:20#264:0:1:2#215:0:1:2	monster_die1.effect	1	50	2.5	0	0.5	2	1	5	180	1	0	0	2	1	15	0.1	0.5	6	0	0
4003	monsterName4001	4001	恶魂	g1048_ehun.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:30#49:0:1:10#2500:0:1:2#266:0:1:20#264:0:1:2#215:0:1:2	monster_die1.effect	1	50	2.5	0	0.5	2	1	5	180	1	0	0	2	1	15	0.1	0.5	6	0	0
4004	monsterName4001	4001	恶魂	g1048_ehun.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:30#49:0:1:10#2500:0:1:2#266:0:1:20#264:0:1:2#215:0:1:2	monster_die1.effect	1	50	2.5	0	0.5	2	1	5	180	1	0	0	2	1	15	0.1	0.5	6	0	0
4005	monsterName4001	4001	恶魂	g1048_ehun.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:30#49:0:1:10#2500:0:1:2#266:0:1:20#264:0:1:2#215:0:1:2	monster_die1.effect	1	50	2.5	0	0.5	2	1	5	180	1	0	0	2	1	15	0.1	0.5	6	0	0
4006	monsterName4001	4001	恶魂	g1048_ehun.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:30#49:0:1:10#2500:0:1:2#266:0:1:20#264:0:1:2#215:0:1:2	monster_die1.effect	1	50	2.5	0	0.5	2	1	5	180	1	0	0	2	1	15	0.1	0.5	6	0	0
4007	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4008	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4009	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
