id	位置	死亡后刷新cd	怪物id	怪物名
id	pos	refreshCD	mosterId	
1	92,56,16	3300	4025	凋零
2	22,70,53	6000	4026	冰霜巨龙
3	88,51,51	22	4001	恶魂
4	93,51,51	22	4002	恶魂
5	98,51,51	22	4003	恶魂
6	88,51,59	22	4004	恶魂
7	93,51,59	22	4005	恶魂
8	98,51,59	22	4006	恶魂
9	81,46,44	12	4007	骷髅
10	102,46,44	12	4008	骷髅
11	81,41,53	12	4009	骷髅
12	102,41,53	12	4010	骷髅
13	74,51,41	12	4011	骷髅
14	74,51,51	12	4012	骷髅
15	74,51,56	12	4013	骷髅
16	74,51,66	12	4014	骷髅
17	109,51,41	12	4015	骷髅
18	109,51,51	12	4016	骷髅
19	109,51,56	12	4017	骷髅
20	109,51,66	12	4018	骷髅
21	77,51,27	12	4019	僵尸
22	84,51,31	12	4020	僵尸
23	89,51,37	12	4021	僵尸
24	97,51,37	12	4022	僵尸
25	102,51,31	12	4023	僵尸
26	109,51,27	12	4024	僵尸
