配置ID	模型名字	相对玩家的位置	玩家模型动作	UI上播的动作	UI显示的位置	UI显示的位置 , 分包主界面	缩放倍数分包主界面	击杀播报挂件	嘲讽时间	缩放倍数	Unnamed: 11	Unnamed: 12
Id	ActorName	offset	uiPlayerSkill	uiSkillName	uiOffset	uiOffsetMain	scaleMain	pendant	tauntTime	scale		
3001	g1008_pet_1.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1.2	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_1	8000	1	羊咩咩	
3002	g1008_pet_2.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	0.71,0.1	0.8	set:pet_headshot.json image:g1008_icon_petFace_2	8000	1	木头人	
3003	g1008_pet_3.actor	0.5,1.6,-0.5	taunt_03	taunt	0.9,-1	0.71,0.1	0.8	set:pet_headshot.json image:g1008_icon_petFace_3	8000	1	石头人	
3004	g1008_pet_4.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	0.71,0.1	0.8	set:pet_headshot.json image:g1008_icon_petFace_4	8000	1	曜石守卫	第一赛季通行证紫色宝箱
3005	g1008_pet_5.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_5	8000	1.5	宝石守卫	
3006	g1008_pet_6.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_6	8000	1.5	烈焰人	
3007	g1008_pet_7.actor	0.5,1.8,-0.9	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_7	8000	1.5	影子人	
3008	g1008_pet_8.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_8	8000	1.5	宝宝龙	
3009	g1008_pet_9.actor	0.5,1.8,-0.8	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_9	8000	1.4	宝石游侠	
3010	g1008_pet_10.actor	0.65,1.65,-0.8	taunt_03	taunt	0.9,-1	-0.75,-1.1	0.68	set:pet_headshot.json image:g1008_icon_petFace_10	8000	1.4	魔法猫咪	
3011	g1008_pet_11.actor	0.5,1.8,-0.5	taunt_03	taunt	0.9,-1	0.71,0	0.8	set:pet_headshot.json image:g1008_icon_petFace_11	8000	1.35	柯基	
3012	g1008_pet_12.actor	0.5,1.7,-0.6	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_12	8000	1.3	皇牌飞行猪	第三赛季通行证付费
3013	g1008_pet_13.actor	0.5,1.7,-0.5	taunt_03	taunt	0.9,-1	0.71,0.1	0.8	set:pet_headshot.json image:g1008_icon_petFace_13	8000	1.4	恐龙猫	
3014	g1008_pet_14.actor	0.5,1.8,-0.6	taunt_03	taunt	0.9,-1	-0.75,-1.5	0.68	set:pet_headshot.json image:g1008_icon_petFace_14	8000	1.4	炸弹人	
3015	g1008_pet_15.actor	0.5,1.8,-0.6	taunt_03	taunt	0.9,-1	0.71,0.2	0.8	set:pet_headshot.json image:g1008_icon_petFace_15	8000	1.4	拳击手	
3016	g1008_pet_16.actor	0.5,1.8,-0.75	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.8	set:pet_headshot.json image:g1008_icon_petFace_16	8000	1.4	床霸	第一赛季通行证付费
