等级	最大经验(###最大等级)	钥匙	装饰碎片id	装饰碎片数量	装饰碎片图片	符文id	符文数量	符文图片	宝箱id	宝箱数量	宝箱图片
exp_lv	exp_max	yaoshi	dress_id_list	dress_num_list	dress_img_list	rune_id_list	rune_num_list	rune_img_list	box_id	box_num	box_img
1	10	0	0	0	0	0#0	0#0	set:runeIcon.json image:rune_0#set:runeIcon.json image:rune_0	0	0	0
2	60	0	0	0	0	10101#10701	1#1	set:runeIcon.json image:rune_10101#set:runeIcon.json image:rune_10701	1	1	set:tequan.json image:gold_chest
3	100	0	0	0	0	11201#11701	1#1	set:runeIcon.json image:rune_11201#set:runeIcon.json image:rune_11701	1	1	set:tequan.json image:gold_chest
4	160	0	0	0	0	10301#10901	1#1	set:runeIcon.json image:rune_10301#set:runeIcon.json image:rune_10901	1	1	set:tequan.json image:gold_chest
5	200	0	0	0	0	11301#12003	1#1	set:runeIcon.json image:rune_11301#set:runeIcon.json image:rune_12003	1	1	set:tequan.json image:gold_chest
6	260	0	0	0	0	11401#12301	1#1	set:runeIcon.json image:rune_11401#set:runeIcon.json image:rune_12301	1	1	set:tequan.json image:gold_chest
7	320	0	0	0	0	10102#10702	1#1	set:runeIcon.json image:rune_10102#set:runeIcon.json image:rune_10702	1	2	set:tequan.json image:gold_chest
8	350	0	0	0	0	11202#11702	1#1	set:runeIcon.json image:rune_11202#set:runeIcon.json image:rune_11702	1	2	set:tequan.json image:gold_chest
9	380	0	0	0	0	10302#10902	1#1	set:runeIcon.json image:rune_10302#set:runeIcon.json image:rune_10902	1	2	set:tequan.json image:gold_chest
10	400	0	0	0	0	11302#12103	1#1	set:runeIcon.json image:rune_11302#set:runeIcon.json image:rune_12103	1	2	set:tequan.json image:gold_chest
11	410	0	0	0	0	11402#12302	1#1	set:runeIcon.json image:rune_11402#set:runeIcon.json image:rune_12302	1	2	set:tequan.json image:gold_chest
12	420	0	0	0	0	10103#10703	1#1	set:runeIcon.json image:rune_10103#set:runeIcon.json image:rune_10703	1	3	set:tequan.json image:gold_chest
13	500	0	0	0	0	11203#11703	1#1	set:runeIcon.json image:rune_11203#set:runeIcon.json image:rune_11703	1	3	set:tequan.json image:gold_chest
14	600	0	0	0	0	10303#10903	1#1	set:runeIcon.json image:rune_10303#set:runeIcon.json image:rune_10903	1	3	set:tequan.json image:gold_chest
15	700	0	0	0	0	11303#12203	1#1	set:runeIcon.json image:rune_11303#set:runeIcon.json image:rune_12203	1	3	set:tequan.json image:gold_chest
16	###	0	0	0	0	11403#12303	1#1	set:runeIcon.json image:rune_11403#set:runeIcon.json image:rune_12303	1	3	set:tequan.json image:gold_chest
