index	mapId	teamId	温泉切片	温泉切片坐标X	温泉起点X	温泉终点X	Unnamed: 7	Unnamed: 8
index	mapId	teamId	hpSchemetic	hpSchemeticPos	hpStart	hpEnd		
1	1	1	mapzhongshi_wenquan_red.schematic	499,51,12	497,50,9	508,56,20	红队	沙漠
2	1	2	mapzhongshi_wenquan_blue.schematic	412,51,99	409,50,97	420,56,108	蓝队	沙漠
3	1	3	mapzhongshi_wenquan_green.schematic	412,51,12	409,50,9	420,56,20	绿队	沙漠
4	1	4	mapzhongshi_wenquan_yellow.schematic	499,51,99	497,50,97	508,56,108	黄队	沙漠
5	2	1	mapxiandai_wenquan_red.schematic	882,50,11	879,50,8	892,53,19	红队	现代
6	2	2	mapxiandai_wenquan_blue.schematic	882,50,152	879,50,152	892,53,163	蓝队	现代
7	2	3	mapxiandai_wenquan_green.schematic	811,50,82	808,50,79	819,53,92	绿队	现代
8	2	4	mapxiandai_wenquan_yellow.schematic	952,50,82	952,50,79	963,53,92	黄队	现代
9	3	1	mapxiaowu_wenquan_red.schematic	1366,50,85	1366,50,83	1375,56,92	红队	小屋
10	3	2	mapxiaowu_wenquan_blue.schematic	1221,50,85	1218,50,83	1227,56,92	蓝队	小屋
11	3	3	mapxiaowu_wenquan_green.schematic	1294,50,12	1292,50,9	1301,56,18	绿队	小屋
12	3	4	mapxiaowu_wenquan_yellow.schematic	1294,50,157	1292,50,157	1301,56,116	黄队	小屋
13	4	1	mapzhongshi_wenquan_red.schematic	1708,100,109	1708,99,109	1719,103,120	红队	中式
14	4	2	mapzhongshi_wenquan_blue.schematic	1615,100,16	1620,99,21	1609,103,10	蓝队	中式
15	4	3	mapzhongshi_wenquan_green.schematic	1708,100,16	1708,99,21	1719,103,10	绿队	中式
16	4	4	mapzhongshi_wenquan_yellow.schematic	1615,100,109	1620,99,109	1609,103,120	黄队	中式
17	5	1	mapnew_wenquan_red.schematic	2220,79,43	2220,79,43	2229,81,55	红队	海盗
18	5	2	mapnew_wenquan_blue.schematic	2220,79,198	2220,79,198	2229,81,210	蓝队	海盗
19	5	3	mapnew_wenquan_green.schematic	2297,79,121	2297,79,121	2307,81,132	绿队	海盗
20	5	4	mapnew_wenquan_yellow.schematic	2142,79,121	2142,79,120	2152,81,131	黄队	海盗
21	6	1	g1008_shengdanjie_red.schematic	2879,86,6	2878,86,6	2888,94,16	红队	圣诞节
22	6	2	g1008_shengdanjie_blue.schematic	2884,86,155	2884,86,155	2893,94,165	蓝队	圣诞节
23	6	3	g1008_shengdanjie_green.schematic	2806,86,84	2806,86,84	2816,94,93	绿队	圣诞节
24	6	4	g1008_shengdanjie_yellow.schematic	2955,86,79	2955,86,78	2965,94,87	黄队	圣诞节
