礼包id	触发条件	触发条件参数	礼包持续时间（s）	价格	价值	名称	介绍	宣传图	奖励组	Unnamed: 10	Unnamed: 11	Unnamed: 12
id	trigger	param	duration	price	value	name	desc	image	rewardGroup			
300003	1	3	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300003		触发条件	
300004	1	4	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300004		1	等级
300005	1	5	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300005		2	段位分
300006	1	6	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300006			
300007	1	7	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300007			
300008	1	8	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300008			
300009	1	9	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300009			
300010	1	10	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300010			
300011	1	11	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300011			
300012	1	12	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300012			
300013	1	13	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300013			
300014	1	14	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300014			
300015	1	15	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300015			
300016	1	16	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	300016			
201100	2	1100	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	201100			
201300	2	1300	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	201300			
201500	2	1500	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	201500			
201700	2	1700	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	201700			
201900	2	1900	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	201900			
202100	2	2100	86400	99	499	500%+	#	set:trigger_gift_Image.json image:img_0_gift_packages03	202100			
