索引	枚举类型	显示位置（0不显示）	Unnamed: 3	Unnamed: 4	Unnamed: 5
id	tipType	tipBox			
1	1008001	1		msgIronMoney	?FFFF0000铁锻炉
2	1008002	3		禁止放方块	?FFFF0000此区域禁止放方块！
3	1008003	3		掉入虚空提示	%1s ?FF000000玩家掉入了虚空
4	1008004	0		游戏简介	?71AE48玩法:保护你的床并摧毁敌人的床。收集铁锭、金锭，绿宝石和钻石来升级，使自身和队伍变得更强
5	1008005	4		击杀显示	%1s ?FF000000击杀了%2s
6	1008006	3		特权限购一次	?FFFF0000特权限购一次
7	1008007	3		购买成功	?FF71AE48购买成功
8	1008008	1		钻石点信息	等级%1s          钻石       将在%2s秒后产出
9	1008009	1		绿宝石点信息	等级%1s          绿宝石       将在%2s秒后产出
10	1008010	1		购买温泉成功	%1s?FFFF0000购买温泉成功
11	1008011	3		温泉已经满级	?FFFF0000温泉已到达最大等级
12	1008012	3		购买数量限制	?FFFF0000购买数量已到达上限
13	1008013	3		铁锻炉已经满级	?FFFF0000铁锻炉已到达最大等级
14	1008014	1		成功升级温泉	%1s?FF71AE48成功升级温泉
15	1008015	3		此附魔已经满级	?FFFF0000此附魔已到达最大等级
16	1008016	3		无法获得低级装备	?FFFF0000无法获得低级装备
17	1008017	3		不能放置救援床	?FFFF0000救援平台只能在空中使用
18	1008018	3		不能破坏自己队伍的床	?FFFF0000不能破坏自己队伍的床
19	1008019	1		成功升级附魔	%1s?FF71AE48成功升级附魔
20	1008020	3		工具最大等级	?FFFF0000工具已到达最大等级
21	1008021	3		只有钻石镐可以破坏	?FFFF0000只有钻石镐可以破坏黑曜石
22	1008022	2		床被破坏啦	?FFFF0000您的床已被破坏了。您已无法复活
23	1008023	1		团灭	%1s?FF000000玩家全部被淘汰
24	1008024	3		破坏床	%1s?FF000000破坏了%2s?FF000000的床,%3s?FF000000无法复活.
25	1008025	3		开启快速搭建	?FF71AE48已开启快速搭建功能
26	1008026	3		关闭快速搭建	?FFFF0000已关闭快速搭建功能
27	1008027	1		被推下虚空	%1s?FF000000把?FF000000%2s?FF000000打下了虚空
28	1008028	3		不能破坏床的工具	?FFFF0000只有工具可以破坏床
29	1008029	3		卡牌抽奖缺少钥匙	货币不足 !
30	1008030	3		卡牌抽奖背包满了	背包已满 !
31	1008031	1		钻石点升级提示	钻石升级到%1s级
32	1008032	1		绿宝石点升级提示	绿宝石升级到%1s级
33	1008033	3		超出范围提醒	你已超出范围
34	7	4			
35	74	4			
36	83	4			
37	4	4			
38	9	4			
39	12	4			
40	10	4			
41	22	4			
42	27	4			
43	1008043	3			
44	1008046	3			
45	1008048	3			
