序号	类型	问题Id	选项类型	物品Id	图标	问题名	问题介绍	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13
seq	type	questionId	chooseType	itemId	icon	name	desc						调查问卷
1	1	1	1	3576	set:bedwar_xindaoju.json image:g1008_dalinu	CommodityMechant_name_5_60	CommodityMechant_desc_5_60			选项类型: 1单选			大力弩
2	1	2	1	1000	set:bedwar_xindaoju.json image:g1008_roller_skates	CommodityMechant_name_5_62	CommodityMechant_desc_5_62			类型：1物品，2游玩时间			寒冰鞋
3	1	3	1	1001	set:bedwar_xindaoju.json image:g1008_ninja_shoes	CommodityMechant_name_5_63	CommodityMechant_desc_5_63						忍者鞋
4	1	4	1	595	set:bedwar_xindaoju.json image:g1008_shuiqiu	CommodityMechant_name_5_64	CommodityMechant_desc_5_64						水球
5	1	5	1	594	set:bedwar_xindaoju.json image:g1008_daqiaodan	CommodityMechant_name_5_65	CommodityMechant_desc_5_65						搭桥蛋
6	1	6	1	593	set:bedwar_xindaoju.json image:g1008_dragon_knight	CommodityMechant_name_5_66	CommodityMechant_desc_5_66						龙骑士
8	1	8	1	591	set:bedwar_xindaoju.json image:g1008_shuiqingqiu	CommodityMechant_name_5_68	CommodityMechant_desc_5_68						回溯珍珠
9	1	9	1	590	set:bedwar_xindaoju.json image:g1008_paragliders	CommodityMechant_name_5_69	CommodityMechant_desc_5_69						滑翔伞
10	1	10	1	585	set:bedwar_xindaoju.json image:g1008_diamond_mines	CommodityMechant_name_5_70	CommodityMechant_desc_5_70						钻石地雷
11	1	11	1	584	set:bedwar_xindaoju.json image:g1008_traps	CommodityMechant_name_5_71	CommodityMechant_desc_5_71						冰冻夹子
12	1	12	1	583	set:bedwar_xindaoju.json image:g1008_radar	CommodityMechant_name_5_72	CommodityMechant_desc_5_72						报警器
13	1	13	1	582	set:bedwar_xindaoju.json image:g1008_camouflage_double_rainbow	CommodityMechant_name_5_73	CommodityMechant_desc_5_73						替身傀儡
14	1	14	1	346	set:bedwar_xindaoju.json image:g1008_props_fishhook	CommodityMechant_name_5_74	CommodityMechant_desc_5_74						鱼钩
15	2	16	1	0	set:bedwar_xindaoju.json image:g1008_survey_Time	Survey_Time_5	Survey_Time_6						时间调查
