序号	任务时长类型（1每日，2周，3赛季）	任务类型	参数A	游戏类型	数量X	奖励经验值	描述多语言	任务组	抽取权重	后续任务	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22
id	refreshCycle	type	remarks	gameType	num	reward	desc	groupId	weight	nextTaskId												
1001	1	101	#	#	1	10	1046012	101	100	0		登录	类型ID	类型	简介	任务数量	备注（参数A）	模式ID				
1002	1	102	#	#	1	10	1046014	101	100	0		开箱	101	成长	累计登录X天	天数	#	模式ID(#表示任意模式)				
1003	1	203	#	#	4	10	1046008	101	100	0		击败	102	成长	累计开启A类宝箱	开启数量	宝箱ID(1：银宝箱;2：终极宝箱，#为任意宝箱)	模式ID(#表示任意模式)				
1004	1	207	#	#	3	20	1046011	101	100	0		进行游戏	103	成长	累计消耗X钥匙	消耗货币数量	货币ID(#为任意货币, 1魔方,4碎片,5钥匙)	模式ID(#表示任意模式)				
1005	2	207	#	#	5	80	1046022	101	100	0		进行游戏	201	战斗	累计破坏床X次	床数	#	模式ID(#表示任意模式)				
1006	1	101	#	#	1	10	1046012	102	100	0		登录	202	战斗	累计伤害达到X	伤害数	#	模式ID(#表示任意模式)				
1007	1	208	1#2#3#4#5#6#7#8#9#10	#	2	10	1046013	102	100	0		前10	203	战斗	累计击杀X次	击杀数	#	模式ID(#表示任意模式)				
1008	1	203	#	#	4	10	1046008	102	100	0		击败	204	战斗	累计搭建方块X个	放置方块数量	#	模式ID(#表示任意模式)				
1009	1	207	#	#	3	20	1046011	102	100	0		进行游戏	205	战斗	累计收集X个A资源	捡到的数量	物品ID(#为任意货币,铁锭,金锭,砖石,绿宝石)	模式ID(#表示任意模式)				
1010	2	207	#	#	10	80	1046022	102	100	0		进行游戏	206	战斗	累计使用A道具X次	使用道具次数	道具ID(#为任意道具)	模式ID(#表示任意模式)				
1011	1	101	#	#	1	10	1046012	103	100	0		登录	207	战斗	累计玩X局游戏	完成次数	#	模式ID(#表示任意模式)				
1012	1	102	#	#	1	10	1046014	103	100	0		开箱	208	战斗	累计X次游戏排名前A	完成次数	1#2#3#...#A(符合任务的名次数)	模式ID(#表示任意模式)				
1013	1	203	#	#	4	10	1046008	103	100	0		击败										
1014	1	207	#	#	3	20	1046011	103	100	0		进行游戏										
1015	2	207	#	#	15	80	1046022	103	100	0		进行游戏										
1016	1	101	#	#	1	10	1046012	104	100	0		登录										
1017	1	208	1#2#3#4#5#6#7#8#9#10	#	2	10	1046013	104	100	0		前10										
1018	1	204	#	#	100	10	1046006	104	100	0		搭方块										
1019	1	207	#	#	3	20	1046011	104	100	0		进行游戏										
1020	2	207	#	#	5	80	1046022	104	100	0		进行游戏										
1021	1	101	#	#	1	10	1046012	105	100	0		登录										
1022	1	202	#	#	60	10	1046007	105	100	0		伤害										
1023	1	204	#	#	100	10	1046006	105	100	0		搭方块										
1024	1	207	#	#	3	20	1046011	105	100	0		进行游戏										
1025	2	203	#	#	15	80	1046019	105	100	0		击败										
1026	1	101	#	#	1	10	1046012	106	100	0		登录										
1027	1	201	#	#	1	10	1046005	106	100	0		拆床										
1028	1	208	1#2#3#4#5#6#7#8#9#10	#	2	10	1046013	106	100	0		前10										
1029	1	207	#	#	3	20	1046011	106	100	0		进行游戏										
1030	2	207	#	#	10	80	1046022	106	100	0		进行游戏										
110101	1	207	#	g1008	1	500	ChallengeTask_Day_1	1011	100	0		玩1局游戏（四人模式）										
110102	1	207	#	g1062	1	500	ChallengeTask_Day_2	1011	100	0		玩1局游戏（双人模式）										
110103	1	207	#	g1061	1	300	ChallengeTask_Day_3	1011	100	0		玩1局游戏（单人模式）										
